"id","latitude","longitude","Label"
"SJO","9.9939","-84.2089","San Jose Juan Santamaria Apt"
"NOB","9.9765","-85.6530","Nosara                                  "
"LIO","9.9581","-83.0219","LIMON INTL"
"SYQ","9.9572","-84.1428","San Jose Tobias Bolanos Apt             "
"VKG","9.9497","105.1337","Rachgia"
"IAO","9.8591","126.0140","Siargao"
"PBP","9.8561","-85.3708","  Punta Islita"
"IXM","9.8336","78.0894","Madurai"
"LIK","9.8167","169.3167","XXX"
"JAF","9.7919","80.0750","KANKESANTURAI/JAFFNA"
"SUG","9.7819","125.4917","Surigao"
"LRL","9.7775","1.0956","NIAMTOUGOU INTL"
"UNN","9.7772","98.5853","Ranong"
"MUN","9.7511","-63.1525","Maturin                                 "
"PPS","9.7421","118.7587","Puerto Princesa"
"TAG","9.6656","123.8522","Tagbilaran"
"JOS","9.6397","8.8692","Jos                                     "
"MXJ","9.6394","6.4708","MINNA"
"DIR","9.6378","41.8489","Dire Dawa                               "
"CKY","9.5769","-13.6120","Conakry"
"CZJ","9.57","-79.3600","Corazon De Jesus                        "
"TML","9.5667","0.8667","Tamale"
"PVE","9.5653","-78.9533","El Porvenir                             "
"AGV","9.55","-69.2333","ACARIGUA"
"USM","9.5492","100.0625","Ko Samui"
"YAP","9.4989","138.0825","Yap"
"HGA","9.4878","44.0875","Hargeisa                                "
"CHX","9.4589","-82.5153","Changuinola                             "
"CTE","9.45","-78.9670","  Carti"
"WTE","9.45","170.0333","XXX"
"XQP","9.4432","-84.1298","Quepos                                  "
"PKO","9.3572","2.6092","PARAKOU"
"ONX","9.3556","-79.8675","COLON/E.A.JIMENEZ"
"VLV","9.35","-70.6167","Valera"
"BOC","9.3408","-82.2508","Bocas del Toro                          "
"GOU","9.3367","13.3811","Garoua                                  "
"DGT","9.3361","123.2994","Dumaguete"
"CZU","9.3333","-75.2833","Corozal"
"EAL","9.33","166.8420","Kwajalein Atoll MH"
"MGN","9.2847","-74.8461","MAGANGUE/BARACOA"
"YOL","9.26","12.4303","Yola"
"CGM","9.2535","124.7071","Camiguin                                "
"VDP","9.2167","-66.0167","VALLE DE LA PASCUA"
"CAH","9.1877","105.1750","Ca Mau"
"CBD","9.1532","92.8194","CARNICOBAR"
"SRH","9.1511","18.3794","SARH"
"URT","9.1361","99.1392","Surat Thani"
"UJE","9.0833","165.6667","XXX"
"PTY","9.0714","-79.3833","Panama City Tocumen International"
"TDG","9.0667","126.1667","TANDAG"
"GUQ","9.0167","-69.7333","GUANARE"
"ABV","9.0069","7.2631","Abuja"
"YLT","82.5178","-62.2806","ALERT"
"PAC","8.9733","-79.5556","Panama City Marcos A.Gelabert Intl"
"BXU","8.9586","125.4917","Butuan"
"SOM","8.9451","-64.1511","San Tome"
"CLZ","8.9283","-67.4133","CALABOZO"
"LML","8.9167","166.2500","XXX"
"BLB","8.9148","-79.5996","BALBOA/HOWARD AFB"
"KBT","8.9","170.8500","XXX"
"MTR","8.8236","-75.8258","Monteria"
"TCR","8.7833","78.1333","Tuticorin"
"MAV","8.75","171.1000","XXX"
"KWA","8.7201","167.7316","Kwajalein Island                        "
"DRK","8.7189","-83.6417","Drake Bay"
"VCS","8.6667","106.6333","Con Dao"
"GLF","8.6538","-83.1805","Golfito                                 "
"VIG","8.6419","-71.6853","El Vigia                                "
"MQQ","8.6203","16.0683","MOUNDOU"
"BNS","8.6167","-70.2167","Barinas                                 "
"FNA","8.6165","-13.1956","Freetown Lungi International Apt"
"OTR","8.6016","-82.9686","  Coto 47"
"DPL","8.6011","123.3431","Dipolog"
"MRD","8.5833","-71.1667","Merida"
"TRR","8.5397","81.1825","Trincomalee"
"PJM","8.5356","-83.2997","Puerto Jimenez                          "
"MCA","8.4844","-9.5368","MACENTA"
"TRV","8.4797","76.9197","Thiruvananthapuram"
"NST","8.4639","99.9583","Nakhon Si Thammarat"
"ILR","8.44","4.4939","Ilorin"
"CGY","8.4162","124.6114","Cagayan de Oro"
"DAV","8.3895","-82.4357","David                                   "
"OCV","8.3151","-73.3583","  Oca�a"
"ADP","8.3","80.4767","ANURADHAPURA"
"PZO","8.2883","-62.7603","Puerto Ordaz"
"LFR","8.25","-72.2817","La Fria"
"BPH","8.1885","126.3270","BISLIG"
"OZC","8.1807","123.8406","Ozamis"
"IGN","8.15","124.2083","ILIGAN"
"AUL","8.1333","171.1667","XXX"
"CBL","8.1333","-63.5350","CIUDAD BOLIVAR"
"GMB","8.1173","34.5634","Gambela"
"HKT","8.1125","98.3093","Phuket"
"KBV","8.0989","98.9872","Krabi"
"MNH","8.05","80.9711","MINNERIYA"
"SVF","8.0167","2.4500","SAVE"
"YEU","79.9947","-85.8142","EUREKA"
"LYR","78.2461","15.4656","Longyearbyen                            "
"SRK","77.7833","-70.7667","Siorapaluk"
"NAQ","77.4887","-69.3887","Qaanaaq"
"THU","76.5312","-68.7032","Pituffik"
"YGZ","76.4261","-82.9092","Grise Fiord"
"SVR","76.0208","-65.0833","Savissivik"
"YRB","74.7169","-94.9694","Resolute"
"KHQ","74.5794","-57.2353","Kullorsuaq                              "
"NSQ","74.11","-57.0650","Nuussuaq"
"DKS","73.5167","80.3817","DIKSON"
"TQA","73.3731","-56.0603","Tasiussaq Heliport"
"IUI","73.1997","-56.0472","Innarsuit                               "
"YAB","73.0053","-85.0331","Arctic Bay"
"YSR","72.9822","-84.6136","NANISIVIK"
"AOQ","72.8869","-55.5961","Aappilattoq"
"JUV","72.7902","-56.1306","Upernavik"
"YIO","72.6833","-77.9667","Pond Inlet                              "
"KGQ","72.38","-55.5453","Kangersuatsiaq"
"UPK","72.1567","-55.5333","Upernavik Kujalleq Heliport"
"YSY","71.9939","-125.2425","Sachs Harbour"
"HTG","71.9783","102.4933","KHATANGA"
"JUU","71.55","-53.2200","Nuugaatsiaq"
"BRW","71.2854","-156.7660","Barrow Wiley Post/Will Rogers Memorial  "
"IOT","71.2417","-53.5667","Illorsuit                               "
"JUK","71.0553","-51.8833","Ukkusissat                              "
"MEH","71.0297","27.8267","Mehamn                                  "
"HVG","71.0097","25.9836","Honningsvag                             "
"BVG","70.8714","29.0342","Berlevag                                "
"SAE","70.8117","-51.6333","Saatut"
"NIQ","70.7917","-53.6667","Niaqornat"
"YHI","70.7628","-117.8061","Ulukhaktok                              "
"CNP","70.7433","-22.6606","Neerlerit Inaat"
"JQA","70.7342","-52.6962","Qaarsut"
"HFT","70.6797","23.6686","Hammerfest                              "
"UMD","70.6797","-52.1172","Uummannaq"
"BJF","70.6003","29.6925","Batsfjord"
"IKE","70.4956","-51.3031","Ikerasak"
"HAA","70.4867","22.1397","Hasvik                                  "
"YCY","70.4861","-68.5167","Clyde River                             "
"ATK","70.4673","-157.4357","Atqasuk"
"VAW","70.3554","31.0449","Vardo"
"NUI","70.21","-151.0055","Nuiqsut"
"SCC","70.1948","-148.4652","Prudhoe Bay/Deadhorse"
"YPD","70.1678","-124.6914","CAPE PARRY"
"LKL","70.0667","24.9739","Lakselv                                 "
"VDS","70.0653","29.8447","Vadso"
"QUP","70.0167","-51.9333","Saqqaq"
"GIU","7.9558","80.7281","Sigiriya"
"CUC","7.9314","-72.5142","Cucuta"
"SFD","7.8833","-67.4333","SAN FERNANDO DE APURE"
"SVZ","7.8667","-72.4500","San Antonio Tachira"
"DBU","7.8559","80.6567","Dambula"
